Post No,Index No,Organization,Requisition No,Position Grade,No of Applications Submitted,Internal / External,Post title,Vacancy Year
ZSOFRX,PAOPFF,UNICEF,506785,A10,1,Internal,WASH Specialist,2017
ZSOFRR,KPZZZPDA,UNICEF,507294,A9,144,External,Operations Officer,2017
ZSKFDF,KPZZZRAD,UNICEF,510782,A6,279,External,Programme Associate,2018
ZSKFDD,KPZZZSKR,UNICEF,508678,A6,121,External,Executive Associate,2017
ZSKFPS,KPZZZZDP,UNICEF,508106,A6,76,External,Marketing Associate,2017
ZSKFPZ,KPZZZRKR,UNICEF,510243,A16,222,External,Marketing Assistant,2018
ZSKFPZ,KPZZPKOD,UNICEF,523378,A16,87,External,Marketing Assistant,2019
ZSKFPX,KPZZSDRX,UNICEF,515251,A16,54,External,Marketing Assistant,2018
ZSKFPO,KPZZSZFD,UNICEF,513873,A6,81,External,Fund Raising Associate,2018
ZSKFPK,KSZRSR,UNICEF,508263,A9,188,Internal,Education Officer,2017
ZSKFPF,KAARXP,UNICEF,516787,A6,103,External,Communication Associate,2018
ZSKFPA,FXDSRK,UNICEF,509074,A6,244,Internal,Programmer Associate,2018
ZSKFPR,XZAAOO,UNICEF,509420,A15,56,Internal,Chief Child Survival & Development,2017
ZSKFPD,KPZZSXDD,UNICEF,516000,A9,45,External,Nutrition Officer,2018
ZSKAS,PFXZO,UNICEF,494231,A16,64,Internal,Chief Child Protection,2016
ZSKAS,XFXOAZ,UNICEF,522822,A16,71,Internal,Chief Child Protection,2019
ZSKASS,XDKSS,UNICEF,512453,A10,15,Internal,Communication for Development Specialist,2018
ZSKASX,KOXZRR,UNICEF,509534,A9,74,Internal,Adolescent Development Officer,2018
ZSKASO,DFDDPZ,UNICEF,509400,A6,66,External,Executive Associate,2017
ZSKASD,KPZZZSRZ,UNICEF,507283,A16,53,External,Communication Assistant,2017
ZSKASP,KPZZZPAP,UNICEF,507292,A9,124,External,Monitoring & Evaluation Officer,2017
ZSKAZX,KPZZZFXZ,UNICEF,520566,A8,84,External,Early Childhood Development Officer,2019
ZSKAZO,KPZZZXZP,UNICEF,510399,A8,157,External,Fund Raising Officer,2018
ZSKAZK,KPZZSFAF,UNICEF,514247,A16,61,External,Fund Raising Assistant,2018
ZSKAZF,KPZZSDXR,UNICEF,514246,A16,139,External,Marketing Assistant,2018
ZSKAZA,AKRDKA,UNICEF,509424,A11,52,Internal,Early Childhood Development Manager,2017
ZSKAZR,AASORD,UNICEF,509367,A8,131,Internal,Early Childhood Development Officer,2019
ZSKAZP,OXKKSA,UNICEF,509927,A14,266,External,Education Specialist,2018
ZSKAXS,KSROXZ,UNICEF,509230,A9,63,Internal,Education Officer,2017
ZSKAXX,KPFFDX,UNICEF,516589,A9,123,External,Child Protection Officer,2018
ZSKAXK,KPZZZKFO,UNICEF,511059,A9,142,External,Child Protection Officer,2018
ZSKAXR,OORZSDO,UNICEF,509705,A6,134,External,Programme Associate,2018
ZSKAXD,FPAPXX,UNICEF,523107,A8,147,External,Communication Officer,2019
ZSKAXP,FFOXAP,UNICEF,510680,A8,175,External,Communication Officer,2018
ZSKAO,OAPZDK,UNICEF,502541,A15,98,External,Nutrition Specialist,2017
ZSKAOS,KPZKOF,UNICEF,515771,A8,92,External,Communication Officer,2018
ZSKAOO,KSFDKR,UNICEF,509977,A14,1,External,Human Resources Specialist,2018
ZSKAOK,KPAPKP,UNICEF,509237,A9,80,External,Security Officer,2018
ZSKAOF,AKOZAK,UNICEF,515200,A8,108,Internal,Supply & Logistics Officer,2018
ZSKAOA,PZPDD,UNICEF,515206,A8,76,Internal,Information Comm. Technology Officer,2018
ZSKAOR,KDZDPD,UNICEF,515199,A8,152,Internal,Administrative Officer,2018
ZSKAOP,KPZZZOAO,UNICEF,510584,A13,39,External,Driver,2018
ZSKAKS,ARKRSK,UNICEF,509907,A16,85,Internal,Chief Child Survival & Development,2018
ZSKAKO,KZPROD,UNICEF,511991,A16,73,External,Programme Assistant,2018
ZSKAKA,KPZZSZZS,UNICEF,510852,A10,212,External,Implementing Partnership Mgmt Specialist,2018
ZSKAKR,PFSKX,UNICEF,514442,A14,67,External,Gender Programme Specialist,2018
ZSKAKP,KPZZZDOR,UNICEF,508700,A9,217,External,Communication Officer,2017
ZSKAF,FAFFFO,UNICEF,494033,A15,52,Internal,Health Specialist,2016
ZSKAFS,KPZZSKXS,UNICEF,516630,A10,145,External,Social Policy Specialist,2018
ZSKAFZ,FDOOOR,UNICEF,508695,A10,82,External,Health & Nutrition Specialist,2017
ZSKAFO,FOOSKO,UNICEF,508697,A9,417,External,WASH Officer,2018
ZSKAFF,OPOAFA,UNICEF,509675,A14,83,Internal,Immunization Specialist,2017
ZSFZAO,RZROZR,UNICEF,510482,A14,112,External,Child Protection Specialist,2018
ZSFZR,XAZXZS,UNICEF,511331,A16,95,Internal,Chief of Communication,2018
ZSFZDX,KPZZZASS,UNICEF,509740,A9,252,External,Health Officer,2018
ZSFXXP,KPZZZFRZ,UNICEF,509941,A9,6,External,Education Officer,2018
ZSFXOR,KPZZZDAX,UNICEF,508467,A9,171,External,Education Officer,2017
ZSFOXF,RDKAAS,UNICEF,509463,A10,24,External,WASH Specialist,2017
ZSFOKA,KPZZZKFF,UNICEF,510570,A8,193,External,Nutrition Officer,2018
ZSFOFZ,SSRFKO,UNICEF,509326,A16,47,Internal,Administrative & Finance Assistant,2017
ZSFOFA,FZPSFO,UNICEF,508923,A6,24,Internal,Programme Communication Assistant,2017
ZSFOFR,FRAFDX,UNICEF,509062,A6,10,Internal,Administrative Associate,2017
ASZFX,KPZZZXDS,UNICEF,512701,A15,118,External,Human Resources Manager,2018
ASPS,KAXAOK,UNICEF,504371,A16,11,Internal,Chief of Operations,2017
ASPK,RFSKXR,UNICEF,511003,A6,82,Internal,Programme Associate,2018
AZSSD,PPZSFP,UNICEF,499857,A16,45,External,Accounts Assistant,2016
AZSD,KRRPFO,UNICEF,499488,A13,30,External,Driver,2016
AZXXP,XXPDKX,UNICEF,502939,A16,362,Internal,Chief Child Protection,2017
AZKR,RFAOSK,UNICEF,494345,A16,106,External,Human Resources Assistant,2016
AZKR,FFFODD,UNICEF,518013,A16,126,Internal,Human Resources Assistant,2018
AZRK,FKZSDS,UNICEF,499678,A16,92,External,Executive Assistant,2017
AXZD,FKSKOS,UNICEF,499198,A16,45,External,Executive Assistant,2016
AXOZ,FOPXRO,UNICEF,506813,A16,119,External,Administrative Assistant,2017
AXOK,AZKPAX,UNICEF,506430,A6,10,Internal,Operations Associate,2017
AXRZP,OOKDZR,UNICEF,502246,A14,254,Internal,Human Resources Specialist,2017
AXRXF,KPDZAR,UNICEF,503259,A9,520,External,Administrative Officer,2017
AXROX,XFDODP,UNICEF,504145,A6,415,External,Programme Associate,2017
AXRKS,RAPOKP,UNICEF,506278,A9,295,Internal,Programme Budget Officer,2017
AXRKK,FOFKSA,UNICEF,505024,A9,131,External,Communication Officer,2017
AXRAA,FOFXXO,UNICEF,502706,A9,84,External,WASH Officer,2017
AXRRX,AKPKDX,UNICEF,507918,A6,168,External,Programme Associate,2017
AXRRK,KPZZPAOS,UNICEF,522137,A15,196,External,Programme Assistant,2019
AXRPS,RSSXRR,UNICEF,521258,A14,148,External,Education Specialist,2019
AXDSO,KPZZPKDZ,UNICEF,519354,A9,195,External,Programme Officer,2019
AXDSA,KPZZZFZA,UNICEF,512037,A16,189,External,Inventory Assistant,2018
AXDXR,RFSSOK,UNICEF,503439,A14,364,Internal,Operations Manager,2017
AXDOO,KDDRRA,UNICEF,503323,A10,1,External,Social Policy Specialist,2016
AXDOD,KPZZZFRO,UNICEF,510948,A8,273,External,Programme Officer,2018
AXDKS,KPZZSXXZ,UNICEF,518808,A8,63,External,Early Childhood Development Officer,2019
AXDFX,FRRZAZ,UNICEF,513915,A10,45,External,Social Policy Specialist,2018
AXDAO,SXSZPO,UNICEF,519584,A14,130,External,WASH Specialist,2019
AXDAK,SXDARR,UNICEF,508213,A14,2,Internal,Health Specialist,2017
AXDAD,FRASAD,UNICEF,509874,A8,139,External,Human Resources Officer,2018
AXDRZ,ROFZXK,UNICEF,520344,A10,52,Internal,Adolescent Development Specialist,2019
AXDRK,FKRPK,UNICEF,503263,A16,20,Internal,Operations Assistant,2017
AXDRR,KPZZZOKX,UNICEF,506237,A6,115,External,Fund Raising Associate,2018
AXDDA,FKXORS,UNICEF,506668,A8,130,External,Programme Officer,2017
AXDDD,KPZZPPFX,UNICEF,519989,A10,187,External,Child Protection Specialist,2019
AXDPP,KPZZZSAP,UNICEF,506496,A15,229,External,Communication Assistant,2017
AADPZ,FAZSZP,UNICEF,498758,A16,115,External,Programme Assistant,2016
ARSAZ,FFOORZ,UNICEF,509196,A16,69,Internal,Sr Communication for Development Manager,2017
ARSR,KADDPS,UNICEF,494447,A15,129,External,Chief Education,2016
ARZP,PAKFDP,UNICEF,513256,A15,204,Internal,Deputy Representative,2018
ARZP,XFPOFZ,UNICEF,513256,A15,204,Internal,Deputy Representative,2018
ARXP,SRZPDS,UNICEF,522346,A9,143,External,Water & Environmental Sanitation Officer,2019
AROSO,SDDDZO,UNICEF,508761,A15,146,External,Education Manager,2017
AROP,KKAFDK,UNICEF,505199,A9,144,External,Education Officer,2017
ARKDO,KSDDXX,UNICEF,511513,A14,1,External,Human Resources Specialist,2018
ARFKX,SAROOF,UNICEF,494173,A15,69,Internal,Chief Planning, Monitoring & Evaluation,2016
ARFKX,PZFFAO,UNICEF,523563,A15,113,Internal,Chief Planning, Monitoring & Evaluation,2019
ARFKX,RPFKPR,UNICEF,494173,A15,69,Internal,Chief Planning, Monitoring & Evaluation,2016
ARAXP,FFSSSP,UNICEF,498229,A14,456,Internal,Data Communication Specialist,2016
ARAOZ,KADARD,UNICEF,506777,A14,585,Internal,Communication for Development Specialist,2017
ARAOZ,ODZZKD,UNICEF,510543,A14,535,External,Communication for Development Specialist,2018
ARAFA,KFFZXR,UNICEF,506589,A9,63,Internal,Communication for Development Officer,2017
ARAFR,FPKOKP,UNICEF,510171,A9,20,Internal,Communication for Development Officer,2018
ARRFK,FOAXZR,UNICEF,519173,A16,5,Internal,Human Resources Assistant,2019
ARDKK,OSPXD,UNICEF,511351,A14,155,Internal,Child Protection Specialist,2018
ARPRF,AZZFAO,UNICEF,508991,A9,34,External,Programme Officer,2017
ARPDD,OPRFOS,UNICEF,496666,A10,66,External,Child Protection Specialist,2016
ARPPK,FKSKFF,UNICEF,516455,A14,18,External,Communication for Development Specialist,2019
ARPPA,ODXRZA,UNICEF,496655,A15,70,Internal,Chief Education,2016
ADSSS,KXFOAP,UNICEF,503839,A11,75,External,Chief Education,2017
ADSZS,RRRSP,UNICEF,495683,A15,51,Internal,Chief Child Protection,2016
ADSZS,XPAKPS,UNICEF,495683,A15,51,Internal,Chief Child Protection,2016
ADSZF,DXPPRF,UNICEF,512660,A14,128,Internal,Nutrition Specialist,2018
ADSZA,KPZZSAZF,UNICEF,513660,A9,44,External,Nutrition Officer,2018
ADSXO,AFSZKP,UNICEF,501820,A7,2,Internal,Senior Finance Associate,2016
ADSXP,KPZZPSKO,UNICEF,519488,A16,145,External,Warehouse Assistant,2019
ADSOS,OSSPDD,UNICEF,503032,A14,66,External,Human Resources Specialist,2017
ADSOZ,KPZZZZOS,UNICEF,507061,A8,82,External,Human Resources Officer,2017
ADSKX,OSXKR,UNICEF,517712,A13,57,External,Driver/Mechanic,2018
ADSKA,KZSOKP,UNICEF,498447,A14,96,External,Communication for Development Specialist,2016
ADSFP,KPZZPAXF,UNICEF,521926,A14,95,External,Chief Field Office,2019
ADSAZ,FZRKRX,UNICEF,502514,A14,167,External,Chief Field Office,2017
ADSAO,OSROSZ,UNICEF,519017,A15,95,Internal,Chief Social Policy,2019
ADSAA,FFKXDP,UNICEF,515800,A14,4,Internal,Nutrition Specialist,2018
ADSDX,SDDXRF,UNICEF,499987,A9,197,Internal,Child Protection Officer,2016
ADZOS,FRODAO,UNICEF,499766,A13,185,External,Reports Officer,2016
ADZKK,KARDPR,UNICEF,501957,A8,48,Internal,Early Childhood Development Officer,2016
ADZKF,ODFDAR,UNICEF,498625,A6,121,External,Programme Associate,2016
ADZFO,DFFFK,UNICEF,511514,A14,245,External,Supply & Logistics Specialist,2018
ADZFF,OZOASF,UNICEF,498053,A15,72,Internal,Chief Child Protection,2016
ADZDX,KPZZPKRP,UNICEF,520513,A9,119,External,Immunization Officer,2019
ADZDF,FXRAXF,UNICEF,499025,A16,91,External,Travel Assistant,2016
ADZPZ,FRRSSX,UNICEF,499640,A6,93,External,Programme Associate,2016
ADXSX,KPZPSX,UNICEF,519976,A6,159,External,Programme Associate,2019
ADXSK,XXOSOX,UNICEF,499145,A6,43,External,Programmer Associate,2016
ADXXS,OOPAPPO,UNICEF,510432,A6,26,External,Programme Associate,2018
RZKPP,SOAKPF,UNICEF,502797,A10,89,External,Health Specialist,2017
RZFSO,FPPRX,UNICEF,509734,A9,124,Internal,Nutrition Officer,2018
RZFSR,KPZZSZSS,UNICEF,519212,A9,96,External,Nutrition Officer,2019
RZFSP,FRPORA,UNICEF,502496,A9,228,External,Education Officer,2017
RZFZS,KPZZZSSO,UNICEF,508989,A9,295,External,Education Officer,2017
RZFZZ,KOXRRD,UNICEF,505156,A9,18,External,Education Officer,2017
RZFZX,OSORRX,UNICEF,506150,A9,213,External,Education Officer,2017
RZFZA,KPZZZDSS,UNICEF,509138,A9,178,External,WASH Officer,2017
RZFZD,OFPZPZ,UNICEF,504427,A9,157,Internal,WASH Officer,2017
RZFXO,OROZKX,UNICEF,509564,A9,173,External,Child Protection Officer,2017
RZFXK,KARRZO,UNICEF,520017,A9,1,Internal,Child Protection Officer,2019
RZFXP,KZDKSS,UNICEF,505752,A9,142,External,Communication for Development Officer,2017
RZFOZ,KPXRSO,UNICEF,509560,A9,132,Internal,Communication for Development Officer,2017
RZFKD,OPSDDK,UNICEF,509300,A16,26,Internal,Chief Field Services,2017
RZFKP,OSAROR,UNICEF,512241,A15,177,Internal,Programme Manager,2018
RZFFF,FKASZP,UNICEF,507824,A10,61,Internal,Nutrition Specialist,2017
RZFFA,KODZDX,UNICEF,504034,A14,2,External,Research & Evaluation Specialist,2016
RZFRZ,FARZFP,UNICEF,525521,A15,169,Internal,Education Manager,2019
RZFRF,KPZZZOOF,UNICEF,512353,A16,37,External,Executive Assistant,2018
RZFDO,KPZZZAPX,UNICEF,510490,A14,152,External,Public Partnership Specialist,2018
RZFPD,FRZZRK,UNICEF,501254,A8,79,External,Supply Officer,2016
RZASX,FFXRFX,UNICEF,498005,A9,118,External,Child Protection Officer,2016
RZASK,OOXFFZ,UNICEF,507873,A10,73,External,Education Specialist,2017
RZAZF,KPZZZXAD,UNICEF,512475,A16,202,External,Deputy Representative Operations,2018
RZAXZ,KZKRFZ,UNICEF,508051,A15,14,Internal,Deputy Representative,2018
RZAXA,DZKAPZ,UNICEF,513236,A14,93,External,Education Specialist,2018
RZAXR,KPZZZSKD,UNICEF,507091,A9,101,External,Child Protection Officer,2017
RZAOX,KAPKPX,UNICEF,502882,A6,69,Internal,Programme Associate,2017
RZAOF,OODKPRP,UNICEF,516820,A14,159,External,Planning, Monit. & Evaluation Specialist,2018
RZAKS,SRDAFP,UNICEF,502562,A14,232,Internal,Finance Specialist,2017
RZAKX,KPZZPKAD,UNICEF,521261,A6,64,External,Programme Associate,2019
RZAKF,OKKFPA,UNICEF,506691,A8,109,External,Education Officer,2017
RZAFS,OPKFXA,UNICEF,501986,A8,70,External,Education Officer,2016
RZAFO,DXFPKS,UNICEF,514718,A14,129,Internal,Chief Field Office,2018
RZAFK,KPZZZSDZ,UNICEF,507254,A9,82,External,Health Officer,2017
RZAAS,KPZZZDAD,UNICEF,509018,A9,122,External,WASH Officer,2017
RZARO,FPXSZX,UNICEF,523167,A6,94,Internal,Programme Associate,2019
RZRZZ,AOSPKR,UNICEF,494258,A14,75,Internal,Learning and Development Specialist,2016
RZRXX,AZXSXD,UNICEF,505881,A7,6,External,Senior Accounts Associate,2017
RZRXX,XAAXAK,UNICEF,505881,A7,6,External,Senior Accounts Associate,2017
RZRXA,KSDOAA,UNICEF,499949,A14,360,External,Accountant,2017
RZRXP,XOPDKP,UNICEF,499228,A6,126,Internal,Accounts Associate,2017
RZROP,SZZAZZRA,UNICEF,512107,A14,163,External,Human Resources Policy Specialist,2018
RZRAX,AAADK,UNICEF,493977,A14,93,Internal,Education Specialist,2016
RZRRK,AFAPAP,UNICEF,506926,A14,737,Internal,Communication Specialist,2017
RZRDR,KPZZZFPF,UNICEF,508907,A15,213,External,Humanitarian Affairs Manager,2017
RZRDD,OSDOSZ,UNICEF,506552,A15,172,Internal,Emergency Manager,2017
RZRDP,ROSPF,UNICEF,517273,A15,128,Internal,Emergency Specialist,2018
RZRPO,PDKDZR,UNICEF,504745,A14,168,Internal,Emergency Specialist,2017
RZRPD,FRXRZA,UNICEF,516880,A16,4,Internal,Nutrition Cluster Coordinator,2018
RZDSS,RRDZFD,UNICEF,493766,A16,62,Internal,Child Protection AoR Coordinator,2016
RXAOZ,SKAXFA,UNICEF,504509,A15,227,Internal,Health Manager,2017
RXAOA,OKPZXX,UNICEF,504445,A10,90,Internal,Nutrition Specialist,2017
RXAKX,KPZZSPAR,UNICEF,513266,A11,194,External,Education Manager,2018
RXAKO,XXZDXS,UNICEF,511415,A14,156,Internal,Contracts Specialist,2018
RXDX,DKXZP,UNICEF,515751,A15,8,Internal,Chief Education,2018
RXPFP,SZFRP,UNICEF,517496,A14,222,Internal,Education Specialist,2018
RXPAS,FKDKFZ,UNICEF,518440,A6,419,External,Finance Associate,2018
RXPAX,KAADAS,UNICEF,522290,A14,110,External,WASH Specialist,2019
RXPAO,KPDADS,UNICEF,498722,A8,188,External,Telecommunications Officer,2016
RXPRX,XOAPRO,UNICEF,505116,A14,179,External,Health Specialist,2017
RXPRP,KPZZSFSS,UNICEF,515305,A6,72,External,Budget Associate,2018
RXPDX,XKDOKP,UNICEF,508214,A14,5,Internal,WASH Specialist,2017
RXPDF,KPZZZZRS,UNICEF,517802,A9,68,External,Planning, Monitoring& Evaluation Officer,2018
RXPPZ,KPZZSFPR,UNICEF,514869,A6,150,External,Programme Associate,2018
ROXFO,XOZFDO,UNICEF,521687,A15,110,External,Advocacy and Policy Manager,2019
ROXFK,KPZZZZRZ,UNICEF,521687,A15,110,External,Advocacy & Policy Specialist,2019
ROXFR,AXPPPP,UNICEF,496809,A15,109,Internal,Corporate Alliances Manager,2016
ROXAK,DPKSS,UNICEF,512402,A10,396,Internal,Supply Chain Specialist,2018
ROXAD,SFZSKK,UNICEF,512639,A15,95,Internal,Chief Communication for Development,2018
ROXAD,DXZPFZ,UNICEF,494204,A15,90,Internal,Chief Communication for Development,2016
ROXAD,OKSOKA,UNICEF,519761,A15,100,External,Chief Communication for Development,2019
ROXAD,OOFDKX,UNICEF,494204,A15,90,Internal,Chief Communication for Development,2016
ROXRP,KPZZZRKA,UNICEF,508355,A6,79,External,Security Associate,2017
ROXD,FOSXSO,UNICEF,509438,A13,41,External,Driver,2017
ROXDS,KPZZZDDX,UNICEF,508357,A6,47,External,Security Associate,2017
ROOSP,OPFPOZ,UNICEF,501196,A15,62,External,Health Specialist,2016
ROKXS,AFPDPS,UNICEF,511333,A14,326,External,Planning, Monit. & Evaluation Specialist,2018
ROFF,ARXDSS,UNICEF,517183,A15,5,Internal,Chief Health and Nutrition,2018
ROAS,RRDSPR,UNICEF,503291,A14,695,Internal,Supply & Procurement Manager,2017
ROASZ,RKPZZS,UNICEF,501256,A14,90,Internal,Adolescent Development Specialist,2016
ROASF,FXSKO,UNICEF,511581,A14,279,Internal,Monitoring & Evaluation Specialist,2018
ROAAS,OZRFDS,UNICEF,496040,A14,90,External,Supply Chain Specialist,2016
ROARA,XKZPDX,UNICEF,515813,A14,2,Internal,Construction Engineer,2018
ROARD,XPSPX,UNICEF,504282,A15,69,Internal,Nutrition Cluster Coordinator,2017
RORFP,OZPXPX,UNICEF,517839,A15,11,Internal,Child Protection Specialist,2018
ROPXP,POOOKR,UNICEF,523835,A15,197,Internal,Chief Field Operations,2019
RKSZ,OFFXAR,UNICEF,495967,A16,67,Internal,Chief Child Survival & Development,2016
RKRK,PARKAO,UNICEF,512947,A16,108,Internal,Chief WASH,2018
RKPF,DFDAKO,UNICEF,515532,A15,73,Internal,Chief of Communication,2018
RADR,OADRRX,UNICEF,510918,A16,6,Internal,Regional Chief of Programme & Planning,2018
RRKS,PAOKDO,UNICEF,521782,A15,63,External,Social Policy Manager,2019
RPRX,PASAO,UNICEF,501163,A17,65,External,Deputy Director,2016
RPDK,PFAOPS,UNICEF,494152,A16,80,Internal,Programme Assistant,2016
DSZOZ,XFFPKP,UNICEF,510113,A15,9,Internal,Security Manager,2018
DSZK,PSPZDP,UNICEF,502996,A13,205,External,Driver,2017
DSXZ,SZZAZPOO,UNICEF,514073,A16,195,External,Administrative Assistant,2018
DSXZ,KKFDXP,UNICEF,493954,A16,45,External,Administrative Assistant,2016
DSKS,FXRSFF,UNICEF,517652,A17,77,Internal,Associate Director Education,2018
DSKZ,XKPOZA,UNICEF,513787,A6,15,Internal,Programme Associate,2018
DSKOS,KSPFOZ,UNICEF,521231,A9,88,Internal,Emergency Officer,2019
DSASO,ODDDKX,UNICEF,494437,A16,120,Internal,Chief Child Protection,2016
DOAAD,RDFSAX,UNICEF,503150,A14,201,Internal,Operations Specialist,2017
DOARA,KPZZPPKR,UNICEF,520680,A16,70,External,Senior Emergency Specialist,2019
DOADA,XXDSPK,UNICEF,495708,A15,129,Internal,Programme Budget Manager,2016
DOADR,ODZPKD,UNICEF,494553,A7,65,Internal,Senior Programme Budget Associate,2016
DOAP,RDKAXP,UNICEF,496517,A9,132,Internal,Finance Officer,2016
DOAPK,RDOODO,UNICEF,499023,A13,179,Internal,Supply Chain Officer,2016
DOAPF,KPZZZSSZ,UNICEF,505806,A15,81,External,Finance Manager,2017
DORSO,KAFXZA,UNICEF,494003,A16,219,External,Project Assistant,2016
DORSO,XXSPAD,UNICEF,511543,A16,1,External,Project Assistant,2018
DORSK,XOROR,UNICEF,522686,A14,139,Internal,Logistics Specialist,2019
DORSA,KZKRRS,UNICEF,521466,A15,112,Internal,Construction Manager,2019
DORFR,XOKPKZ,UNICEF,509363,A15,74,External,Education Specialist,2017
DORFD,KPZZSFXD,UNICEF,516435,A13,274,External,Health Officer,2018
DORRF,SPXZZD,UNICEF,520397,A15,289,External,Communication for Development Specialist,2019
DORRF,AOAXDO,UNICEF,495768,A15,521,Internal,Communication for Development Specialist,2016
DORPO,KPZZSPPP,UNICEF,515013,A10,61,External,Partnerships Specialist,2018
DODSK,OPDRXK,UNICEF,502247,A14,103,External,Fund Raising Specialist,2017
DODDK,KKXFXD,UNICEF,501813,A10,204,External,Chief Field Office,2017
DOPKK,RFKKPF,UNICEF,496683,A15,147,Internal,Chief of Communication,2016
DOPPS,KRFAOZ,UNICEF,493888,A16,18,External,Senior Adviser,2016
DKSZP,KPZZZZOR,UNICEF,508364,A15,135,External,Monitoring & Evaluation Specialist,2017
DKSXS,OSZSDO,UNICEF,520412,A16,118,Internal,Chief Field Operations,2019
DKSXZ,OOZOXO,UNICEF,498725,A15,137,Internal,Chief Field Office,2016
DKSXX,RAPDXA,UNICEF,519909,A15,14,Internal,Supply & Logistics Manager,2019
DKSXK,XPDPOD,UNICEF,496493,A15,66,Internal,WASH Cluster Coordinator,2016
DKSOK,DZDSZK,UNICEF,496421,A8,45,External,Operations Officer,2016
DKSOF,XZDXZD,UNICEF,512050,A8,123,Internal,Operations Officer,2018
DKSFS,RAXFFA,UNICEF,508069,A14,1,Internal,Information Comm. Technology Specialist,2017
DKSRD,XZSADA,UNICEF,516620,A13,19,Internal,Budget Officer,2018
DKZZR,RDOKAP,UNICEF,494006,A14,20,External,Operations Specialist,2016
DKZXZ,FXXKOX,UNICEF,512375,A6,314,External,Supply & Logistics Associate,2018
DKZXX,OODZSX,UNICEF,514500,A10,89,External,Health Specialist,2018
DKZXK,ADSPRD,UNICEF,510270,A15,3,Internal,Education Specialist,2018
DKZXR,PSZADR,UNICEF,514767,A7,180,Internal,Senior Logistics Associate,2018
DKZXP,DPADRA,UNICEF,502232,A16,56,Internal,Senior Health Specialist,2017
DKOA,KRODSP,UNICEF,499538,A15,80,Internal,Administrative Assistant,2016
DKOAS,OPKSOA,UNICEF,512769,A15,97,Internal,Communication Specialist,2018
DKKFA,KKDDRK,UNICEF,503739,A16,153,Internal,Chief Health,2017
DKFPZ,RRPX,UNICEF,503018,A16,55,Internal,Senior Adviser Communication for Develop,2017
DKFPZ,OFOAOR,UNICEF,503018,A16,55,Internal,Senior Adviser Communication for Develop,2017
DKAS,XZFAAX,UNICEF,506097,A16,263,Internal,Deputy Representative Operations,2017
DKAOP,FRPKZR,UNICEF,493984,A15,77,Internal,Fund Raising Specialist,2016
DKAOP,KSFFRZ,UNICEF,514939,A15,97,Internal,Fund Raising Specialist,2018
DKAKS,RXRPXP,UNICEF,496868,A15,63,External,Child Protection Specialist,2016
DKAKO,AKOAXS,UNICEF,499370,A15,142,Internal,Supply Manager,2016
DKAKF,KSRDKD,UNICEF,504538,A7,231,External,Senior Logistics Associate,2017
DKAKD,KPZZZOXD,UNICEF,512447,A16,157,External,Finance Associate,2018
DKRZ,DDKRRS,UNICEF,508158,A6,18,Internal,Administrative & Finance Associate,2017
DKROX,ODKAKO,UNICEF,514102,A14,153,External,Education Specialist,2018
DKRAO,KPZZZRRK,UNICEF,506438,A16,291,External,Senior Adviser,2017
DKDDZ,FPRKOZ,UNICEF,513507,A15,6,External,Programme Specialist,2018
DAXFP,XOARP,UNICEF,502652,A16,64,Internal,Senior Adviser Child Protection,2017
DAXAX,PDZARS,UNICEF,503339,A14,172,Internal,Statistics & Monitoring Specialist,2017
DAXAR,FXKSSS,UNICEF,511178,A15,81,External,Youth & Adolescent Develop. Specialist,2018
DAXRA,RODFAF,UNICEF,495741,A14,236,External,Programme Specialist,2016
DAXDS,FXZRXA,UNICEF,501659,A6,38,External,Planning Associate,2016
DAXDO,OZZZZK,UNICEF,506704,A15,254,External,Legal Affairs Specialist,2018
DAXDR,FFARKD,UNICEF,503412,A15,153,Internal,Public Partnerships Manager,2017
DAXPZ,OPZAKS,UNICEF,501843,A6,223,External,Programme Associate,2016
DAXPR,KOZOPD,UNICEF,514823,A14,14,Internal,Human Resources Specialist,2018
DAOZS,KPZZPSOZ,UNICEF,515405,A16,62,External,Regional Adviser Adolescent Develop,2018
DAOZX,AXDZAA,UNICEF,494649,A14,180,Internal,Education Specialist,2016
DAOXF,FAORO,UNICEF,520204,A14,128,External,Child Protection Specialist,2019
DAOOF,OSAAKS,UNICEF,514030,A7,201,Internal,Senior Human Resources Associate,2018
DAOOP,KZZFDX,UNICEF,502016,A9,176,External,Finance Officer,2017
DAOKS,KOKKXK,UNICEF,502052,A6,244,External,Logistics Associate,2017
DAOKZ,FRAXAP,UNICEF,501502,A16,238,External,Supply Associate,2016
DAOKF,DXXRPR,UNICEF,502740,A15,121,Internal,WASH Manager,2017
DAOKF,RAAFXD,UNICEF,504587,A15,116,External,WASH Manager,2017
DAOFF,XAPXRA,UNICEF,502291,A10,54,Internal,Education Specialist,2017
DAOAO,SXZORD,UNICEF,507958,A15,5,Internal,Chief Child Protection,2017
DAOAF,SFKZXF,UNICEF,522906,A15,69,Internal,Chief Social Policy,2019
DAOAA,KPZZPZKS,UNICEF,517145,A10,34,External,Nutrition Specialist,2018
DAOAR,ORSOSK,UNICEF,501030,A6,95,External,Fund Raising Associate,2017
DAORO,KPZZZOKK,UNICEF,512340,A6,82,External,Programme Associate,2018
DAORR,XXFRRF,UNICEF,498736,A14,49,External,Technical Specialist,2016
